143	AEITJSQTBL3	MySQL & Data Modelling	To Do...
262	JP	Java Programming	Primer for Level 4 Fundamentals and OO stuff
601	SDTEPAJava	SDT End Point Assessment Preparation Java	To Do...
602	SDTEPANeutral	SDT End Point Assessment Preparation Neutral	To Do...
611	NDC	Nigel's Demo Course	Written as an equivalent to .NET MVC
647	MVCJava	MVC using Java	Spring Boot, Hibernate and Thymeleaf
83	AEITJVFTBL3	Java Fundamentals	Intro to Java 2 weeks
84	AEITINJTBL3	Intermediate Java	To Do...
87	AEITCSQTBL3	SQL Server & Data Modelling	To Do...
90	AEITJVATBL4	Advanced Java	To Do...
346	AEITJTDTBL4	Test Driven Development Java	To Do...
93	AEITWADTBL3	Web Application Development	To Do...
141	AEITJWTBL3	Web Fundamentals	To Do...
